key,key:flightCrewMember,key:leg,crewRole,lastUpdated,assignmentStatus,comments,draftMode
flight-assignment-14,flight-crew-member-02,leg-07,CABIN_ATTENDANT,2000/01/01 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-15,flight-crew-member-05,leg-08,CABIN_ATTENDANT,2000/01/01 0:01,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-16,flight-crew-member-05,leg-03,CABIN_ATTENDANT,2022/07/29 23:59,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-17,flight-crew-member-02,leg-06,CABIN_ATTENDANT,2022/07/30 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
# crewRole - basic variations
flight-assignment-18,flight-crew-member-04,leg-07,CO_PILOT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-19,flight-crew-member-02,leg-08,LEAD_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-20,flight-crew-member-02,leg-10,PILOT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
# assignmentStatus - basic variations
flight-assignment-21,flight-crew-member-02,leg-05,CABIN_ATTENDANT,2011/04/16 0:00,PENDING,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-22,flight-crew-member-05,leg-10,CABIN_ATTENDANT,2011/04/16 0:00,CANCELLED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
# assignmentStatus - no singular values
# crewMember - standard variations
flight-assignment-23,flight-crew-member-03,leg-03,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
flight-assignment-24,flight-crew-member-04,leg-05,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FALSE
# crewMember - no singular values
# flightStage - variations already done because of restrictions
# draftMode - standart variations
flight-assignment-25,flight-crew-member-01,leg-10,CABIN_ATTENDANT,2011/04/16 0:00,CONFIRMED,EDITABLE,TRUE
# draftMode - no singular values
